Date,Description,Amount
2025-04-22,Doctor Office,149.41
2025-04-23,Amazon,93.71
2025-04-25,Clothing Store,107.91
2025-04-25,Best Buy,171.83
2025-04-26,Water Company,185.55
2025-04-26,Internet Provider,174.01
2025-04-27,Internet Provider,89.15
2025-04-27,Insurance Payment,265.35
2025-04-27,Netflix,42.62
2025-04-28,Credit Card Payment,366.06
2025-04-28,Movie Theater,49.17
2025-04-29,Walmart,126.35
2025-05-03,Whole Foods,77.42
2025-05-04,Gym Membership,46.47
2025-05-06,Kroger,138.96
2025-05-07,Whole Foods,54.44
2025-05-08,Internet Provider,111.25
2025-05-09,Whole Foods,51.75
2025-05-09,McDonalds,45.1
2025-05-10,Whole Foods,138.05
2025-05-11,Loan Payment,427.37
2025-05-11,CVS Pharmacy,115.0
2025-05-12,Subway,36.44
2025-05-12,Shell Gas,34.21
2025-05-12,CVS Pharmacy,65.12
2025-05-13,Walmart,51.48
2025-05-14,Loan Payment,138.02
2025-05-15,CVS Pharmacy,103.91
2025-05-15,Doctor Office,149.64
2025-05-16,CVS Pharmacy,132.18
2025-05-16,Safeway,77.37
2025-05-16,Water Company,165.08
2025-05-18,McDonalds,19.62
2025-05-18,Pizza Hut,9.33
2025-05-18,Target,102.05
2025-05-23,Online Shopping,186.51
2025-05-24,CVS Pharmacy,143.02
2025-05-26,Metro Transit,55.07
2025-05-27,Dental Clinic,145.33
2025-05-27,PG&E Electric,134.99
2025-05-27,Insurance Payment,452.23
2025-05-29,Netflix,22.06
2025-05-29,Loan Payment,163.11
2025-05-30,McDonalds,39.01
2025-05-31,Water Company,118.64
2025-05-31,Loan Payment,490.46
2025-06-03,Starbucks,33.08
2025-06-03,Dental Clinic,84.72
2025-06-03,Walmart,144.16
2025-06-04,Local Restaurant,20.19
2025-06-04,Gym Membership,49.83
2025-06-04,Kroger,31.46
2025-06-04,Local Restaurant,10.93
2025-06-06,Shell Gas,63.71
2025-06-09,Movie Theater,41.03
2025-06-10,Uber,17.32
2025-06-10,Local Restaurant,26.89
2025-06-10,Uber,43.68
2025-06-11,CVS Pharmacy,57.08
2025-06-11,Clothing Store,119.97
2025-06-11,Netflix,15.07
2025-06-12,Amazon,61.85
2025-06-16,Shell Gas,28.3
2025-06-16,Credit Card Payment,392.33
2025-06-17,McDonalds,40.71
2025-06-17,Online Shopping,28.54
2025-06-18,Walmart,76.9
2025-06-20,Internet Provider,90.27
2025-06-20,Doctor Office,102.05
2025-06-20,Starbucks,34.98
2025-06-20,Netflix,41.04
2025-06-21,Clothing Store,160.75
2025-06-21,Loan Payment,172.0
2025-06-22,Dental Clinic,88.02
2025-06-22,Online Shopping,194.0
2025-06-22,Best Buy,64.79
2025-06-23,Subway,59.62
2025-06-24,McDonalds,59.5
2025-06-24,Kroger,140.72
2025-06-25,Parking Meter,14.49
2025-06-25,Whole Foods,139.23
2025-06-26,CVS Pharmacy,118.31
2025-06-27,Subway,33.93
2025-06-28,Phone Bill,160.57
2025-06-29,Water Company,184.29
2025-06-30,Metro Transit,41.83
2025-07-02,PG&E Electric,60.03
2025-07-03,Phone Bill,89.89
2025-07-08,Dental Clinic,109.5
2025-07-09,Netflix,40.52
2025-07-09,CVS Pharmacy,136.99
2025-07-10,Phone Bill,192.86
2025-07-11,CVS Pharmacy,145.71
2025-07-11,Gym Membership,26.59
2025-07-12,Spotify,49.68
2025-07-12,Safeway,86.35
2025-07-16,Subway,15.98
2025-07-17,Parking Meter,63.28
2025-07-17,Dental Clinic,87.39
2025-07-22,Safeway,32.31
2025-07-23,Walmart,148.82
2025-07-25,Online Shopping,199.71
2025-07-26,Insurance Payment,422.05
2025-07-27,PG&E Electric,105.35
2025-07-29,PG&E Electric,129.6
2025-07-30,Best Buy,82.67
2025-07-30,Target,111.74
2025-08-01,Pizza Hut,12.65
2025-08-05,Online Shopping,276.92
2025-08-06,Safeway,54.18
2025-08-09,Spotify,48.43
2025-08-09,Kroger,134.83
2025-08-10,Amazon,96.48
2025-08-11,Amazon,278.58
2025-08-13,Insurance Payment,413.15
2025-08-14,Spotify,25.4
2025-08-14,Loan Payment,286.74
2025-08-15,Loan Payment,318.75
2025-08-16,Safeway,124.02
2025-08-16,Spotify,15.25
